2026-08-14T07:35:42.380+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-17, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.380+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-17, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.430+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-9, groupId=dlq-consumer-group] Node -1 disconnected.
2026-08-14T07:35:42.430+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-9, groupId=dlq-consumer-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.430+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#2-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-dlq-consumer-group-9, groupId=dlq-consumer-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.570+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#13-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-strictMatches-group-20, groupId=strictMatches-group] Node -1 disconnected.
2026-08-14T07:35:42.570+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#13-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-strictMatches-group-20, groupId=strictMatches-group] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
2026-08-14T07:35:42.570+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#13-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-strictMatches-group-20, groupId=strictMatches-group] Bootstrap broker localhost:9092 (id: -1 rack: null) disconnected
2026-08-14T07:35:42.631+02:00  INFO 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#14-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-21, groupId=notification-service] Node -1 disconnected.
2026-08-14T07:35:42.631+02:00  WARN 52273 --- [gold-business] [org.springframework.kafka.KafkaListenerEndpointContainer#14-0-C-1] org.apache.kafka.clients.NetworkClient   : [Consumer clientId=consumer-notification-service-21, groupId=notification-service] Connection to node -1 (localhost/127.0.0.1:9092) could not be established. Node may not be available.
